1.17_100	uelox amoenum saepe Lucretilem mutat Lycaeo Faunus et igneam defendit aestatem capellis usque meis pluuios que uentos	positive
1.17_101	inpune tutum per nemus arbutos quaerunt latentis et thyma deuiae olentis uxores mariti nec uiridis metuunt colubras nec Martialis haediliae lupos utcumque dulci Tyndari fistula ualles et Vsticae cubantis leuia personuere saxa	positive
1.17_102	di me tuentur dis pietas mea et musa cordi est	positive
1.17_103	hic tibi copia manabit ad plenum benigno ruris honorum opulenta cornu	positive
1.17_104	hic in reducta ualle caniculae uitabis aestus et fide Teia dices laborantis in uno Penelopen uitream que Circen	positive
1.17_105	hic innocentis pocula Lesbii duces sub umbra nec Semeleius cum Marte confundet Thyoneus proelia nec metues proteruum suspecta Cyrum ne male dispari incontinentis iniciat manus et scindat haerentem coronam crinibus inmeritam que uestem	mixed
2.07_230	o saepe me cum tempus in ultimum deducte Bruto militiae duce quis te redonauit Quiritem dis patriis Italo que caelo Pompei meorum prime sodalium cum quo morantem saepe diem mero fregi coronatus nitentis malobathro Syrio capillos	positive
2.07_231	te cum Philippos et celerem fugam sensi relicta non bene parmula cum fracta (est) uirtus et minaces turpe solum tetigere mento sed me per hostis Mercurius celer denso pauentem sustulit aere te rursus in bellum resorbens unda fretis tulit aestuosis	negative
2.07_232	ergo obligatam redde Ioui dapem longa que fessum militia latus depone sub lauru mea nec parce cadis tibi destinatis	positive
2.07_233	obliuioso leuia Massico ciboria exple funde capacibus unguenta de conchis	positive
2.07_234	quis udo deproperare apio coronas curat ue myrto	neutral
2.07_235	quem Venus arbitrum dicet bibendi	neutral
2.07_236	non ego sanius bacchabor Edonis recepto dulce mihi furere est amico	positive
3.23_437	caelo supinas si tuleris manus nascente Luna rustica Phidyle si ture placaris et horna fruge Lares auida que porca nec pestilentem sentiet Africum fecunda uitis nec sterilem seges robiginem aut dulces alumni pomifero graue tempus anno	mixed
3.23_438	nam quae niuali pascitur Algido deuota quercus inter et ilices aut crescit Albanis in herbis uictima pontificum securis ceruice tinguet te nihil attinet temptare multa caede bidentium paruos coronantem marino rore deos fragili que myrto	negative
3.23_439	inmunis aram si tetigit manus non sumptuosa blandior hostia molliuit auersos Penatis farre pio et saliente mica	positive
4.11_566	est mihi nonum superantis annum plenus Albani cadus est in horto Phylli nectendis apium coronis est hederae uis multa qua crinis religata fulges ridet argento domus ara castis uincta uerbenis auet immolato spargier agno cuncta festinat manus huc et illuc cursitant mixtae pueris puellae sordidum flammae trepidant rotantes uertice fumum	positive
4.11_567	ut tamen noris quibus aduoceris gaudiis Idus tibi sunt agendae qui dies mensem Veneris marinae findit Aprilem iure sollemnis mihi sanctior que paene natali proprio quod ex hac luce Maecenas meus affluentis ordinat annos	positive
4.11_568	Telephum quem tu petis occupauit non tuae sortis iuuenem puella diues et lasciua tenet que grata compede uinctum	negative
4.11_569	terret ambustus Phaethon auaras spes et exemplum graue praebet ales Pegasus terrenum equitem grauatus Bellerophontem semper ut te digna sequare et ultra quam licet sperare nefas putando disparem uites	negative
4.11_570	age iam meorum finis amorum non enim posthac alia calebo femina condisce modos amanda uoce quos reddas minuentur atrae carmine curae	mixed
1.10_49	Mercuri facunde nepos Atlantis qui feros cultus hominum recentum uoce formasti catus et decorae more palaestrae te canam magni Iouis et deorum nuntium curuae que lyrae parentem callidum quidquid placuit iocoso condere furto	positive
1.10_50	te boues olim nisi reddidisses per dolum amotas puerum minaci uoce dum terret uiduus pharetra risit Apollo	mixed
1.10_51	quin et Atridas duce te superbos Ilio diues Priamus relicto Thessalos que ignis et iniqua Troiae castra fefellit	mixed
1.10_52	tu pias laetis animas reponis sedibus uirga que leuem coerces aurea turbam superis deorum gratus et imis	positive
2.13_260	ille et nefasto te posuit die quicumque primum et sacrilega manu produxit arbos in nepotum perniciem opprobrium que pagi illum et parentis crediderim sui fregisse ceruicem et penetralia sparsisse nocturno cruore hospitis ille uenena Colcha et quidquid usquam concipitur nefas tractauit agro qui statuit meo te triste lignum te caducum in domini caput inmerentis	negative
2.13_261	quid quisque uitet numquam homini satis cautum est in horas	neutral
