TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# evalatin2026:version = v0.1
# evalatin2026:title = Aeneid
# evalatin2026:original_source = data/preparation/corpus/la/curated/aeneid1-110_lat.xmi
# evalatin2026:license = CC-BY
# evalatin2026:document_id = aeneid1-110_lat
# evalatin2026:author = Vergil
# evalatin2026:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT MISC
Arma	O	_	O	_	_	O	_	_	_
virumque	O	_	O	_	_	O	_	_	_
cano	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Troiae	B-place	_	B-place	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
primus	O	_	O	_	_	O	_	_	_
ab	O	_	O	_	_	O	_	_	_
oris	O	_	O	_	_	O	_	_	NoSpaceAfter
Italiam	B-place	_	B-place	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
fato	O	_	O	_	_	O	_	_	_
profugus	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Laviniaque	O	_	O	_	_	O	_	_	_
venit	O	_	O	_	_	O	_	_	NoSpaceAfter
litora	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
multum	O	_	O	_	_	O	_	_	_
ille	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
terris	O	_	O	_	_	O	_	_	_
iactatus	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
alto	O	_	O	_	_	O	_	_	NoSpaceAfter
vi	O	_	O	_	_	O	_	_	_
superum	O	_	O	_	_	O	_	_	_
saevae	O	_	O	_	_	O	_	_	_
memorem	O	_	O	_	_	O	_	_	_
Iunonis	B-person	_	B-person	_	_	O	_	_	_
ob	O	_	O	_	_	O	_	_	_
iram	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	NoSpaceAfter
multa	O	_	O	_	_	O	_	_	_
quoque	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
bello	O	_	O	_	_	O	_	_	_
passus	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
dum	O	_	O	_	_	O	_	_	_
conderet	O	_	O	_	_	O	_	_	_
urbem	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
inferretque	O	_	O	_	_	O	_	_	_
deos	O	_	O	_	_	O	_	_	_
Latio	B-place	_	B-place	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
genus	O	_	O	_	_	O	_	_	_
unde	O	_	O	_	_	O	_	_	_
Latinum	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
Albanique	B-collective	_	B-collective.ethnic	_	_	O	_	_	Partial-0:6
patres	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
altae	O	_	O	_	_	O	_	_	_
moenia	O	_	O	_	_	O	_	_	_
